target,split,logloss,method,tau,power,max_days,shrink
Q1,interleaved_offset1,0.6804335805378546,exp,21.0,1.0,56.0,0.12
Q1,interleaved_offset2,0.6530287428140491,exp,21.0,1.0,56.0,0.12
Q1,late7,0.7411230616981387,exp,21.0,1.0,56.0,0.12
Q1,interleaved_offset1,0.678562049748783,exp,21.0,1.0,,0.0
Q1,interleaved_offset2,0.6510491331695529,exp,21.0,1.0,,0.0
Q1,late7,0.7376072378798245,exp,21.0,1.0,,0.0
Q1,interleaved_offset1,0.6788535147125657,exp,21.0,1.0,,0.03
Q1,interleaved_offset2,0.650793946295678,exp,21.0,1.0,,0.03
Q1,late7,0.7361612627577,exp,21.0,1.0,,0.03
Q1,interleaved_offset1,0.6792657014344669,exp,21.0,1.0,,0.07
Q1,interleaved_offset2,0.6505309969850881,exp,21.0,1.0,,0.07
Q1,late7,0.7343205625594106,exp,21.0,1.0,,0.07
Q1,interleaved_offset1,0.6798186969763867,exp,21.0,1.0,,0.12
Q1,interleaved_offset2,0.6503119099722176,exp,21.0,1.0,,0.12
Q1,late7,0.7321469222446771,exp,21.0,1.0,,0.12
Q1,interleaved_offset1,0.7449541910874873,exp,28.0,1.0,14.0,0.0
Q1,interleaved_offset2,0.7126007893075936,exp,28.0,1.0,14.0,0.0
Q1,late7,1.3898671009096712,exp,28.0,1.0,14.0,0.0
Q1,interleaved_offset1,0.701961871504996,exp,28.0,1.0,14.0,0.03
Q1,interleaved_offset2,0.6711962874316163,exp,28.0,1.0,14.0,0.03
Q1,late7,0.9576902611252882,exp,28.0,1.0,14.0,0.03
Q1,interleaved_offset1,0.6951020054374681,exp,28.0,1.0,14.0,0.07
Q1,interleaved_offset2,0.6641020554437396,exp,28.0,1.0,14.0,0.07
Q1,late7,0.9011609635212591,exp,28.0,1.0,14.0,0.07
Q1,interleaved_offset1,0.6907134635992156,exp,28.0,1.0,14.0,0.12
Q1,interleaved_offset2,0.6592496479648622,exp,28.0,1.0,14.0,0.12
Q1,late7,0.8638909698673237,exp,28.0,1.0,14.0,0.12
Q1,interleaved_offset1,0.6756078777132623,exp,28.0,1.0,21.0,0.0
Q1,interleaved_offset2,0.7167120913464865,exp,28.0,1.0,21.0,0.0
Q1,late7,0.9351594732819054,exp,28.0,1.0,21.0,0.0
Q1,interleaved_offset1,0.6755822147253154,exp,28.0,1.0,21.0,0.03
Q1,interleaved_offset2,0.6756577756089374,exp,28.0,1.0,21.0,0.03
Q1,late7,0.8049414656512911,exp,28.0,1.0,21.0,0.03
Q1,interleaved_offset1,0.6756189931250326,exp,28.0,1.0,21.0,0.07
Q1,interleaved_offset2,0.6689658143041266,exp,28.0,1.0,21.0,0.07
Q1,late7,0.785277813925419,exp,28.0,1.0,21.0,0.07
Q1,interleaved_offset1,0.6757753226714144,exp,28.0,1.0,21.0,0.12
Q1,interleaved_offset2,0.6645210279972943,exp,28.0,1.0,21.0,0.12
Q1,late7,0.7718580811387581,exp,28.0,1.0,21.0,0.12
