target,submission_strategy,model_name,threshold,accuracy,f1,positive_rate,prior_gap,fold
S1,blend_lightgbm_rule_0.25,lightgbm,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,blend_lightgbm_rule_0.5,lightgbm,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,blend_lightgbm_rule_0.75,lightgbm,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,model_catboost,catboost,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,blend_catboost_rule_0.25,catboost,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,blend_catboost_rule_0.5,catboost,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,blend_catboost_rule_0.75,catboost,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,meta_rule_extra_trees,extra_trees,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,meta_rule_lightgbm,lightgbm,0.45,0.7264957264957265,0.8279569892473119,0.8888888888888888,0.21321321321321318,last_quarter_by_subject
S1,meta_rule_catboost,catboost,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S1,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.05,0.7008547008547008,0.8241206030150754,1.0,0.32432432432432434,last_quarter_by_subject
S2,rule_subject_strategy_tuned,rule,0.05,0.6239316239316239,0.7317073170731707,0.8034188034188035,0.13374913374913378,last_quarter_by_subject
S2,model_logistic_regression,logistic_regression,0.15,0.6495726495726496,0.7354838709677418,0.7264957264957265,0.05682605682605679,last_quarter_by_subject
S2,blend_logistic_regression_rule_0.25,logistic_regression,0.15,0.6239316239316239,0.7471264367816093,0.8888888888888888,0.21921921921921916,last_quarter_by_subject
S2,blend_logistic_regression_rule_0.5,logistic_regression,0.3,0.6239316239316239,0.7471264367816093,0.8888888888888888,0.21921921921921916,last_quarter_by_subject
S2,blend_logistic_regression_rule_0.75,logistic_regression,0.35,0.6666666666666666,0.7450980392156863,0.7094017094017094,0.03973203973203976,last_quarter_by_subject
S2,model_linear_svc,linear_svc,0.35,0.6666666666666666,0.7450980392156863,0.7094017094017094,0.03973203973203976,last_quarter_by_subject
S2,blend_linear_svc_rule_0.25,linear_svc,0.1,0.6153846153846154,0.7457627118644067,0.9145299145299145,0.24486024486024482,last_quarter_by_subject
S2,blend_linear_svc_rule_0.5,linear_svc,0.35,0.6239316239316239,0.7471264367816093,0.8888888888888888,0.21921921921921916,last_quarter_by_subject
S2,blend_linear_svc_rule_0.75,linear_svc,0.5,0.6752136752136753,0.7466666666666666,0.6837606837606838,0.014091014091014098,last_quarter_by_subject
S2,model_svc_rbf,svc_rbf,0.5,0.6752136752136753,0.7710843373493975,0.8205128205128205,0.1508431508431508,last_quarter_by_subject
S2,blend_svc_rbf_rule_0.25,svc_rbf,0.1,0.6324786324786325,0.7650273224043715,0.9658119658119658,0.29614229614229615,last_quarter_by_subject
S2,blend_svc_rbf_rule_0.5,svc_rbf,0.2,0.6324786324786325,0.7650273224043715,0.9658119658119658,0.29614229614229615,last_quarter_by_subject
S2,blend_svc_rbf_rule_0.75,svc_rbf,0.3,0.6324786324786325,0.7650273224043715,0.9658119658119658,0.29614229614229615,last_quarter_by_subject
S2,model_random_forest,random_forest,0.4,0.6324786324786325,0.7542857142857143,0.8974358974358975,0.2277662277662278,last_quarter_by_subject
S2,blend_random_forest_rule_0.25,random_forest,0.1,0.6239316239316239,0.7608695652173912,0.9743589743589743,0.30468930468930466,last_quarter_by_subject
S2,blend_random_forest_rule_0.5,random_forest,0.2,0.6239316239316239,0.7608695652173912,0.9743589743589743,0.30468930468930466,last_quarter_by_subject
S2,blend_random_forest_rule_0.75,random_forest,0.3,0.6239316239316239,0.7608695652173912,0.9743589743589743,0.30468930468930466,last_quarter_by_subject
S2,model_extra_trees,extra_trees,0.45,0.6666666666666666,0.7692307692307693,0.8461538461538461,0.17648417648417647,last_quarter_by_subject
S2,blend_extra_trees_rule_0.25,extra_trees,0.1,0.6153846153846154,0.7567567567567568,0.9829059829059829,0.3132363132363132,last_quarter_by_subject
S2,blend_extra_trees_rule_0.5,extra_trees,0.2,0.6153846153846154,0.7567567567567568,0.9829059829059829,0.3132363132363132,last_quarter_by_subject
S2,blend_extra_trees_rule_0.75,extra_trees,0.25,0.6153846153846154,0.7567567567567568,0.9829059829059829,0.3132363132363132,last_quarter_by_subject
S2,model_hist_gradient_boosting,hist_gradient_boosting,0.05,0.5982905982905983,0.748663101604278,1.0,0.3303303303303303,last_quarter_by_subject
S2,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.15,0.6239316239316239,0.7500000000000001,0.905982905982906,0.2363132363132363,last_quarter_by_subject
